textID,text,sentiments,target,Age
931a866d3f,"So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,0,0-20
7a718b23ef,What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,0,21-30
a6fccce9db,lost my voice,negative,-1,31-45
c017d0c221,hate,negative,-1,46-60
287755c5dd,I`ve heard this fall. I`m waiting too!,neutral,0,60-70
58c435d2cf,more nightmares?  *huggles*,neutral,0,70-100
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,-1,0-20
01b2476dd7,headache,negative,-1,21-30
e02cf4af4c,happy,positive,1,31-45
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,neutral,0,46-60
1b13ed8b4b,going to have fun,positive,1,60-70
b6b35af246,thanks. before the major chop.,neutral,0,70-100
375e74d063,d thank you!,positive,1,0-20
4700be3234,just got up and updated my ipod,neutral,0,21-30
e5c6a6bb5a,HAHAHA,positive,1,31-45
4f84bea1cc,crush,positive,1,46-60
4c73ad2888,Saw James carville in the store today. His head is really that bald,neutral,0,60-70
2dcd8766a8,yellow for   ? http://blip.fm/~5z05g,neutral,0,70-100
234093bef1,which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,0,0-20
ca832cad51,Feeling smooth,positive,1,21-30
a8734230b6,Ew traffic,negative,-1,31-45
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,0,46-60
e70d294d95,your not alone...i need coffee too.,neutral,0,60-70
f84b89a828,Sounds like me,neutral,0,70-100
ee37bea884,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,0,0-20
242d92151a,I hate not having a bike..,negative,-1,21-30
f3a77c2b5e,_nesmith,neutral,0,31-45
1d6411e9dd,This is worse than taxes.,negative,-1,46-60
151c10cc39,JONAS BROTHERS - Live to party.                It`s rocking so hard,positive,1,60-70
7b1927e748,happy,positive,1,70-100
9a6f4d05d5,would love to test it though.,positive,1,0-20
0cb4504f2c,Fun night!,positive,1,21-30
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,neutral,0,31-45
8f3e73cf09,I thought Wolverine was awesome.,positive,1,46-60
c7489a23fa,Hopefully,positive,1,60-70
148ac38bea,Yes i work 6 to 3...,neutral,0,70-100
641555ac70,"Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,0,0-20
4bda359cbb,Done at the spa   now meeting vic for some late lunch!,neutral,0,21-30
ed084a1fa7,Happy,positive,1,31-45
1af124bc1c,Always have wanted to go to Oz,neutral,0,46-60
e98226e842,Thx,neutral,0,60-70
85ec413e54,luv,positive,1,70-100
7df7221145,that`s why I need to be there,positive,1,0-20
0ab8f9c4bc,Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,0,21-30
06cad97de6,If only we could ever actually be allowed to stay here and do that,neutral,0,31-45
37f6bd5ac5,Let me know how that turns out!!,neutral,0,46-60
9bef0d7135,was that sass I detect?  As long as it isn`t back sass! Haha,neutral,0,60-70
7436ec1a2c,",ahaha",positive,1,70-100
cf10e9309a,Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,0,0-20
ce69e99e71,I`m not sleeping at all un,negative,-1,21-30
6402e14398,"Seriously,",negative,-1,31-45
914c40995f,"I live for pain, bring it on",neutral,0,46-60
258f37341e,"okay, i`m out for a while  back later!",neutral,0,60-70
77ba0fee75,g What is this powerblog challenge you keep talking about?  I`m a newbie followe,neutral,0,70-100
96a4ce0d47,died.,positive,1,0-20
5bcc50c275,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,0,21-30
c5645758be,not going to well!,negative,-1,31-45
7e3c091fc2,going to shower because i don`t want to smell at school tomorrow,neutral,0,46-60
869bb56451,Sigh... you know I am...,neutral,0,60-70
09ad12cc5c,hopefully,positive,1,70-100
251aa82551,Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,0,0-20
8e0a0ffbe1,just got home from work.... and is chugging down a big bottle of apple juice.,neutral,0,21-30
799f65f193,g harmed,negative,-1,31-45
d06582e26d,what an amazing day.,positive,1,46-60
dbe1d16b29,it was only once for my big brother...and I`m done now,neutral,0,60-70
7809dd704a,good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,0,70-100
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,1,0-20
e1546f901a,were amazing tonight..,positive,1,21-30
2ece7f3810,hope,positive,1,31-45
ba309a37d1,it hurts too much...,positive,1,46-60
84ca20505a,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,0,60-70
de8c4c410d,Hell Yeah!,neutral,0,70-100
e33d5ceea2,HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,0,0-20
394881b7d0,i know!!,neutral,0,21-30
52d8be9124,huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,0,31-45
dabe649ee3,GREAT,positive,1,46-60
2a5bb8d827,Happy b-day!,positive,1,60-70
dbbbbe6059,thank,positive,1,70-100
894e188d01,HAPPY,positive,1,0-20
a91ca2ffae,glad,positive,1,21-30
89d5b3f0b5,Thanks,positive,1,31-45
fe0abe1754,twittering after 2 days!,neutral,0,46-60
1b6380b1b3,Its too nice,positive,1,60-70
02c004bc2d,depressed,negative,-1,70-100
b4d5f1e13e,sick.,negative,-1,0-20
80481307d5,Happy Mothers Day people. i love my mom a lot still,positive,1,21-30
05a0e60f99,sorry,negative,-1,31-45
e3cc598980,", he was soooo friendly.",positive,1,46-60
a2cf6cc397,happy,positive,1,60-70
53e78f3f89,Is getting the hang of Twitter.,neutral,0,70-100
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,-1,0-20
2dd0cddb70,I want it BACK NOW!:,neutral,0,21-30
e3a1b65ef3,miss,negative,-1,31-45
7ae37ef593,"bathing with two little angels, Keyla and Janice.",neutral,0,46-60
73fa7068a2,chocked,negative,-1,60-70
f5b15be6f6,HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,0,70-100
68bda81bb9,"Family is here,hanging with them",neutral,0,0-20
59e77db781,.it`s gorgeous out!,positive,1,21-30
e3731b6ce8,m worried,negative,-1,31-45
b09362ee8e,Im not bannished.,negative,-1,46-60
c4f9792d55,"Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,0,60-70
20d4300a14,"red top tabloids, build em up, knock em down",neutral,0,70-100
7b69f49c42,tonight in party w/ my girls (minus vita),positive,1,0-20
519a5d3be7,why not now you made me sad I thought you`d be jumping for joy,neutral,0,21-30
aa97eca66f,Simple my a#@,neutral,0,31-45
d3230b7cfd,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,0,46-60
294df18b9f,amazing,positive,1,60-70
e5e2d9d1f3,glad,positive,1,70-100
b7a9ba95d0,I have missed them,negative,-1,0-20
6943d0f480,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,0,21-30
9e047ed52a,Hell yeah Kellynn got a Twitter. Finally.,neutral,0,31-45
a54d3c2825,as wort,positive,1,46-60
5b578d0b4c,better,positive,1,60-70
c4ab28566e,Ship. I`m stuck.,negative,-1,70-100
162a2510d2,Cannot wait,positive,1,0-20
c25871ec9e,shame,negative,-1,21-30
fdb77c3752,,neutral,0,31-45
ddd4dd7be4,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral,0,46-60
d2af698d65,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery,neutral,0,60-70
1594011c6d,Definitely pinched a nerve.,negative,-1,70-100
bb61a7094b,exhausting!,negative,-1,0-20
454ea2153b,"I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral,0,21-30
b5dd587dd2,Sorry,negative,-1,31-45
e5160216a5,im sad it very hurts,negative,-1,46-60
ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,1,60-70
5680a0b488,I`m broke,negative,-1,70-100
ed6c2e4824,Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,0,0-20
a8f2acd515,sore throat. Planning the TET outing to Marwell though...good times,neutral,0,21-30
e9f7f78cfa,it was amazin,positive,1,31-45
4c71b5fb91,now a migraine.,negative,-1,46-60
be8544ffb1,There!,neutral,0,60-70
0404648e1c,?sucks!?..,negative,-1,70-100
e136c0f2af,whens the sway sway winner announced?,neutral,0,0-20
032e865dc7,K will check it out...,neutral,0,21-30
d723ea3299,"doing pretty well,",positive,1,31-45
3d208b8e59,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,0,46-60
f1f5e8edfa,I Miss Daddy and Mommy,negative,-1,60-70
51f4502988,officially depressed,negative,-1,70-100
728c29215f,I just realized that I can`t forward text msgs with my iPhone.,neutral,0,0-20
c9091836ce,exciting!,positive,1,21-30
9668542b2a,That sucks!,negative,-1,31-45
cd5d081760,bored,negative,-1,46-60
061eb4c0de,I am lost.,negative,-1,60-70
c20cb786c4,"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,0,70-100
7733e8541a,bad,negative,-1,0-20
58eda20efc,LMAO... Smh!  that one threw me off,neutral,0,21-30
2f5c77dfb3,oh nice going!,positive,1,31-45
4646623c1d,Is getting ready for work... Working all weekend,neutral,0,46-60
a97db072ed,partying,positive,1,60-70
f3117413cc,i agree with you!,positive,1,70-100
59cb0c3a14,Am hopeless at everything else,negative,-1,0-20
322b61740c,perfect ma,positive,1,21-30
7179c215a7,thanks!,positive,1,31-45
1f581d48bc,Sorry,negative,-1,46-60
c42982a22d,I saw amazing heeels. But they were too big,neutral,0,60-70
9191e574bb,stuck,negative,-1,70-100
f4e428e4b3,dang,negative,-1,0-20
1ee0b44db0,i missed all ur tweets,negative,-1,21-30
4095d52d2d,Damnit all. That sucks.,negative,-1,31-45
4491189459,my boss. She`s moving to NYC,neutral,0,46-60
e8be898842,this is sooo crazy,negative,-1,60-70
9b388b2cd9,some stupid ****,negative,-1,70-100
3d1238a2f0,I think i need some new friends,neutral,0,0-20
98ff5a440e,Looking forward to your gig in Ireland!!!  See ya there!,neutral,0,21-30
b94aaf845e,Please Re,positive,1,31-45
95d0ad2e17,aww  you loooove me,positive,1,46-60
b8e58e1a21,"is hungry, twitter.  i want food.",neutral,0,60-70
39923bb286,awesome lucky you,positive,1,70-100
b751f39570,"yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   ha",neutral,0,0-20
c1b915d1d5,love,positive,1,21-30
f38f53fbde,"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral,0,31-45
c2a17084e9,No fun,negative,-1,46-60
3848e03ac5,u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for,neutral,0,60-70
356ad29589,I feel your pain.,negative,-1,70-100
3696d1db81,comes home in two days,neutral,0,0-20
81e6c0ac2d,Sadly,negative,-1,21-30
12cfc10225,Cant wait,positive,1,31-45
9f51c335d0,ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral,0,46-60
81e29d1a0b,aww I miss driving,negative,-1,60-70
3773846bc3,Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,1,70-100
6f3818a39e,its very cool,positive,1,0-20
2e6ee964a4,wish,positive,1,21-30
759b899f29,"yeah real hard, but I know you`ll get by with it... smile",neutral,0,31-45
12da1098a2,that`s not good,negative,-1,46-60
38e44e0f32,This has made my night!!  Way too funny!,positive,1,60-70
b534d768ca,Happy,positive,1,70-100
c422db675c,I make that same face when I get home and your mom is watching soaps.,neutral,0,0-20
a34bf825fc,I have to go to work now.,neutral,0,21-30
dbc45af041,I can`t believe you went and got boba without me.,neutral,0,31-45
018c0cf1f9,"And to you too, how are you today?",neutral,0,46-60
7e820f005a,Thanks,positive,1,60-70
e839d6a472,19 days and counting,neutral,0,70-100
a210eda5c9,sorry  friends,negative,-1,0-20
47990d2312,BRAINFREEZE,neutral,0,21-30
340600d483,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral,0,31-45
5fcf7bd80c,"My sunburn is peeling,",negative,-1,46-60
9e964bdfda,perky purple nail polish isn`t as perky when its chipped,neutral,0,60-70
3d635198c2,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral,0,70-100
bba9d463f4,I don`t have no one to cuddle with..,negative,-1,0-20
54a62c239a,hate,negative,-1,21-30
ebc8565a98,.sorry,negative,-1,31-45
cf888f0df3,dying,negative,-1,46-60
0456aab9bb,qood morninq,neutral,0,60-70
85b2dbf969,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral,0,70-100
30dd327860,needs more followers,neutral,0,0-20
4c8d61cfd0,stupid job,negative,-1,21-30
ef200df027,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,neutral,0,31-45
bd0fa6cebd,the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral,0,46-60
2c80b2043e,Have a good on,positive,1,60-70
1ecbc820d1,"she is popular,",positive,1,70-100
02e569bee0,Dosen`t Want To,negative,-1,0-20
f6f3b8b7a4,His voice is great.,positive,1,21-30
41f4eb92b9,i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.,neutral,0,31-45
7a341d71fe,was hoping to go to Red Lobster this weekend,neutral,0,46-60
0ddd346323,lucky,positive,1,60-70
38a6cb940a,I sure do hope,positive,1,70-100
a0f446e1bf,Congrats!,positive,1,0-20
db0db7f325,passed away,negative,-1,21-30
123fa2ef14,you are such amazing people!,positive,1,31-45
8ebbcfcfd1,cool,positive,1,46-60
47c5298bb9,so no rice or crusty bread with the chili .... aawww,neutral,0,60-70
38c25280f1,"We are of like minds this evening , my dear!",neutral,0,70-100
f83634c7f2,come and save me from my packing please?!,neutral,0,0-20
301f7824f5,"Yes, I love tea.",positive,1,21-30
715e081e22,a mouth for sure,positive,1,31-45
5459ddc56e,I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral,0,46-60
e8f99c2de0,thanks!,positive,1,60-70
b53d8f2b09,s I just don`t entertain him :/,negative,-1,70-100
71dddc0dff,kill me,negative,-1,0-20
